date;plate_id;plate_name;sample_id;well_A01;well_01A;tissue_id;dna_person;notes;tissue_type;extraction
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_C07;C07;07C;BGM-0058;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_C08;C08;08C;BGM-0060;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_C09;C09;09C;BGM-0061;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_C10;C10;10C;BGM-0062;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_C11;C11;11C;BGM-0063;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_C12;C12;12C;BGM-0065;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_D01;D01;01D;BGM-0066;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_D02;D02;02D;BGM-0067;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_D03;D03;03D;BGM-0069;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_D04;D04;04D;BGM-0070;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_D05;D05;05D;BGM-0073;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_D06;D06;06D;BGM-0076;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_D07;D07;07D;BGM-0080;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_D08;D08;08D;BGM-0083;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_D09;D09;09D;BGM-0084;EMBRAPA;;Leaf;
